"","construct","radius.mean","radius.median","radius.getmode","radius.getquant","radius.max","radius.min","radius.st.err","radius.length"
"1","45-1",0.747474747474748,0.790909090909091,0.781818181818182,0.914545454545455,0.927272727272727,0.2,0.0445577338596873,18
"2","45-102",0.943030303030303,0.981818181818182,0.963636363636364,1.06545454545455,1.38181818181818,0.454545454545455,0.0232625666525151,45
"3","45-104",0.869818181818182,0.945454545454545,1.03636363636364,1.04727272727273,1.09090909090909,0.254545454545455,0.0442342873380881,25
"4","45-106",0.882154882154882,0.909090909090909,0.909090909090909,1.00727272727273,1.09090909090909,0.581818181818182,0.0234599912638907,27
"5","45-126",0.631060606060606,0.636363636363636,0.654545454545455,0.750909090909091,0.981818181818182,0.236363636363636,0.0172722041161851,48
"6","45-4",0.936363636363636,0.972727272727273,0.981818181818182,1.05272727272727,1.07272727272727,0.618181818181818,0.0229407525941045,22
"7","45-43",0.935227272727273,0.981818181818182,1.03636363636364,1.07272727272727,1.25454545454545,0.254545454545455,0.0325424225311548,32
"8","45-5",0.824505928853755,0.909090909090909,0.927272727272727,1.01818181818182,1.03636363636364,0.4,0.0406494928658096,23
"9","45-64",0.761128526645768,0.781818181818182,0.781818181818182,0.821818181818182,0.890909090909091,0.272727272727273,0.0211181190572169,29
"10","45-82",0.834648370497427,0.890909090909091,0.945454545454545,1.01090909090909,1.18181818181818,0.236363636363636,0.027729664483172,53
"11","45-93",0.943939393939394,0.963636363636364,0.963636363636364,1.07272727272727,1.4,0.290909090909091,0.0244080816476763,48
